Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,MetaphoricalSenseCategory,SentimentCategory,,
268,1,11,12,8,1,,
269,0,,,,1,,
270,0,,,,1,,
271,1,6,12,5,1,,
272,0,,,,1,,
273,1,12,12,3,0,,
274,0,,,,0,,
275,0,,,,-1,,
276,0,,,,1,,
277,1,7,12,5,1,,
278,0,,,,1,,
279,1,10,10,3,-1,,
280,0,,,,0,,
281,1,5,11,8,0,,
282,0,,,,0,,
283,0,,,,1,,
284,1,12,12,5,0,,
285,0,,,,1,,
286,0,,,,0,,
287,0,,,,-1,,
288,1,12,11,3,0,,
289,0,,,,-1,,
290,0,,,,0,,
291,0,,,,1,,
292,0,,,,1,,
293,0,,,,0,,
294,0,,,,0,,
295,1,12,10,5,0,,
296,1,11,6,5,1,,
297,0,,,,1,,
298,0,,,,1,,
299,0,,,,-1,,
300,0,,,,0,,
301,0,,,,1,,
302,0,,,,0,,
303,0,,,,1,,
304,0,,,,1,,
305,1,12,12,8,-1,,
306,1,12,10,5,1,,
307,1,11,11,5,0,,
308,1,4,12,8,0,,
309,0,,,,1,,
310,0,,,,-1,,
311,0,,,,0,,
312,0,,,,0,,
313,0,,,,1,,
314,1,12,12,5,1,,
315,1,12,3,5,-1,,
316,0,,,,0,,
317,1,3,8,5,1,,
318,0,,,,1,,
319,0,,,,1,,
320,0,,,,0,,
321,0,,,,0,,
322,0,,,,0,,
323,0,,,,1,,
324,0,,,,0,,
325,1,12,12,8,0,,
326,0,,,,0,,
327,1,11,10,8,1,,
328,0,,,,1,,
329,0,,,,1,,
330,0,,,,-1,,
331,0,,,,0,,
332,0,,,,0,,
333,0,,,,1,,
334,1,12,11,5,1,,
335,1,12,10,7,0,,
336,0,,,,1,,
337,1,12,11,5,0,,
338,0,,,,1,,
339,0,,,,1,,
340,1,9,11,7,0,,
341,0,,,,0,,
342,1,11,11,5,1,,
343,0,,,,0,,
344,1,12,12,5,0,,
345,1,12,11,8,1,,
346,1,11,12,7,1,,
347,1,12,12,5,-1,,
348,1,12,6,7,-1,,
349,0,,,,0,,
350,1,7,11,5,0,,
351,1,12,11,5,1,,
352,0,,,,0,,
353,1,12,12,5,-1,,
354,1,11,10,5,1,,
355,1,12,12,5,0,,
356,0,,,,0,,
357,0,,,,1,,
358,1,11,10,5,0,,
359,1,12,11,5,0,,
360,1,11,12,5,1,,
361,0,,,,0,,
362,0,,,,0,,
363,0,,,,0,,
364,1,11,12,8,1,,
365,0,,,,0,,
366,1,8,12,5,1,,
367,1,8,12,5,-1,,
368,0,,,,0,,
369,1,11,11,8,1,,
370,1,12,12,5,-1,,
371,1,11,12,5,-1,,
372,1,5,7,6,0,,
373,0,,,,0,,
374,0,,,,0,,
375,0,,,,0,,
376,1,11,10,5,-1,,
377,0,,,,1,,
378,0,,,,0,,
379,1,12,12,7,-1,,
380,0,,,,1,,
381,1,12,12,7,-1,,
382,0,,,,-1,,
383,0,,,,0,,
384,0,,,,-1,,
385,0,,,,0,,
386,0,,,,0,,
387,1,6,12,7,0,,
388,0,,,,0,,
389,1,11,12,8,0,,
390,0,,,,-1,,
391,0,,,,0,,
392,0,,,,0,,
393,0,,,,0,,
394,1,11,10,5,1,,
395,0,,,,0,,
396,0,,,,-1,,
397,0,,,,-1,,
398,0,,,,0,,
399,0,,,,-1,,
400,0,,,,0,,
401,0,,,,0,,
402,1,12,12,7,1,,
403,0,,,,-1,,
404,0,,,,1,,
405,0,,,,0,,
406,1,10,9,5,1,,
407,0,,,,0,,
408,1,11,11,5,1,,
409,0,,,,0,,
410,1,11,7,5,1,,
411,0,,,,0,,
412,1,12,12,5,0,,
413,0,,,,0,,
414,1,12,12,5,0,,
415,0,,,,-1,,
416,1,10,12,5,0,,
417,1,12,10,8,1,,
418,1,9,12,7,0,,
419,1,11,10,8,0,,
420,1,12,11,5,1,,
421,0,,,,1,,
422,0,,,,-1,,
423,0,,,,0,,
424,0,,,,1,,
425,1,12,12,5,0,,
426,0,,,,0,,
427,0,,,,1,,
428,1,12,12,5,0,,
429,0,,,,0,,
430,1,12,12,5,0,,
431,0,,,,0,,
432,1,12,12,5,0,,
433,0,,,,-1,,
434,1,6,9,5,0,,
435,1,11,4,7,1,,
436,0,,,,0,,
437,1,11,12,5,1,,
438,1,12,12,5,-1,,
439,0,,,,1,,
440,0,,,,-1,,
441,1,9,11,8,1,,
442,1,12,12,5,0,,
443,1,12,9,7,-1,,
444,0,,,,1,,
445,1,12,11,3,-1,,
446,0,,,,1,,
447,1,11,3,5,0,,
448,0,,,,1,,
449,1,11,10,5,0,,
450,1,12,12,5,0,,
451,1,12,12,5,-1,,
452,1,12,11,5,0,,
453,0,,,,-1,,
454,1,12,11,5,0,,
455,1,12,8,5,1,,
456,1,12,12,5,-1,,
457,1,9,12,7,1,,
458,0,,,,1,,
459,0,,,,0,,
460,0,,,,-1,,
461,0,,,,-1,,
462,1,10,12,5,1,,
463,1,10,12,7,0,,
464,0,,,,0,,
465,1,12,11,5,1,,
466,1,12,12,7,1,,
467,1,11,10,3,0,,
468,1,12,12,5,-1,,
469,0,,,,1,,
470,0,,,,1,,
471,0,,,,1,,
472,1,11,11,5,0,,
473,1,12,11,5,1,,
474,1,12,11,5,1,,
475,1,7,11,8,0,,
476,0,,,,0,,
477,0,,,,0,,
478,1,2,12,5,0,,
479,1,11,12,5,0,,
480,0,,,,0,,
481,1,12,7,8,-1,,
482,0,,,,-1,,
483,1,11,8,7,0,,
484,0,,,,0,,
485,1,11,11,5,0,,
486,1,12,11,5,0,,
487,0,,,,0,,
488,1,10,11,3,-1,,
489,0,,,,-1,,
490,1,12,11,5,1,,
491,1,5,12,5,0,,
492,0,,,,-1,,
493,0,,,,-1,,
494,0,,,,-1,,
495,1,12,12,5,0,,
496,0,,,,0,,
497,0,,,,0,,
498,1,7,12,6,1,,
499,1,12,12,5,0,,
500,1,12,8,5,0,,
501,1,8,12,7,-1,,
502,1,12,12,5,0,,
503,1,12,11,5,1,,
504,0,,,,-1,,
505,1,12,6,5,-1,,
506,1,10,7,3,-1,,
507,0,,,,-1,,
508,1,10,12,5,0,,
509,1,7,12,8,1,,
510,0,,,,0,,
511,0,,,,-1,,
512,1,10,11,3,0,,
513,1,11,12,8,1,,
514,1,12,12,7,-1,,
515,0,,,,0,,
516,0,,,,0,,
517,1,12,11,3,0,,
518,0,,,,-1,,
519,1,12,11,5,0,,
520,0,,,,0,,
521,1,12,12,5,-1,,
522,1,12,12,5,-1,,
523,0,,,,0,,
524,1,7,5,7,-1,,
525,0,,,,-1,,
526,1,10,5,5,0,,
527,1,9,11,7,-1,,
528,1,11,12,5,0,,
529,1,11,9,5,-1,,
530,0,,,,0,,
531,1,11,12,5,-1,,
532,0,,,,0,,
533,0,,,,1,,
534,1,12,12,7,1,,
535,1,9,11,7,1,,
536,1,12,12,5,0,,
537,1,10,9,5,0,,
538,1,12,11,7,-1,,
539,1,12,10,5,-1,,
540,1,12,5,5,-1,,
541,1,12,10,5,1,,
542,1,12,12,5,0,,
543,1,12,12,5,1,,
544,0,,,,-1,,
545,0,,,,0,,
546,1,11,11,5,0,,
547,1,11,7,5,0,,
548,0,,,,1,,
549,1,12,6,5,0,,
550,0,,,,0,,
551,1,12,12,5,-1,,
552,1,12,9,5,-1,,
553,1,12,12,5,1,,
554,0,,,,0,,
555,1,10,11,5,1,,
556,1,12,12,5,1,,
557,0,,,,-1,,
558,0,,,,0,,
559,1,12,12,5,0,,
560,1,12,11,5,-1,,
561,0,,,,1,,
562,1,12,12,5,-1,,
563,0,,,,0,,
564,1,12,12,5,0,,
565,0,,,,-1,,
566,0,,,,1,,
567,1,12,10,5,-1,,
568,1,12,9,3,-1,,
569,1,11,12,5,-1,,
570,0,,,,0,,
571,0,,,,-1,,
572,0,,,,0,,
573,0,,,,-1,,
574,1,11,3,5,0,,
575,1,12,6,5,0,,
576,0,,,,0,,
577,1,7,12,5,0,,
578,1,12,11,5,1,,
579,1,12,12,5,-1,,
580,0,,,,0,,
581,0,,,,-1,,
582,0,,,,0,,
583,1,5,12,7,-1,,
584,1,9,3,7,0,,
585,1,12,12,5,-1,,
586,1,9,2,8,0,,
587,1,12,12,5,0,,
588,0,,,,-1,,
589,0,,,,0,,
590,1,12,3,5,-1,,
591,0,,,,0,,
592,1,12,10,5,0,,
593,0,,,,0,,
594,1,12,8,5,0,,
595,1,12,9,7,0,,
596,1,12,10,5,0,,
597,1,11,10,5,0,,
598,0,,,,1,,
599,0,,,,0,,
600,1,12,11,3,0,,
601,0,,,,0,,
602,1,10,11,5,0,,
603,0,,,,0,,
604,0,,,,0,,
605,1,12,6,5,0,,
606,0,,,,0,,
607,0,,,,-1,,
608,0,,,,0,,
609,1,12,11,7,-1,,
610,0,,,,0,,
611,0,,,,-1,,
612,1,10,11,7,0,,
613,1,12,6,5,0,,
614,1,12,10,5,-1,,
615,1,11,11,8,-1,,
616,0,,,,0,,
617,1,11,12,5,0,,
618,0,,,,-1,,
619,1,12,10,7,0,,
620,0,,,,0,,
621,1,12,3,5,0,,
622,1,12,11,5,-1,,
623,0,,,,0,,
624,0,,,,0,,
625,1,12,11,5,0,,
626,1,9,11,7,0,,
627,0,,,,0,,
628,1,12,5,7,0,,
629,1,6,11,7,0,,
630,0,,,,0,,
631,1,10,12,5,0,,
632,0,,,,0,,
633,1,12,12,5,0,,
634,1,7,12,8,0,,
635,0,,,,1,,
636,0,,,,0,,
637,1,11,12,5,0,,
638,0,,,,0,,
639,1,11,12,5,0,,
640,1,7,4,5,0,,
641,0,,,,-1,,
642,0,,,,0,,
643,1,11,12,5,0,,
644,0,,,,0,,
645,0,,,,-1,,
646,0,,,,-1,,
647,0,,,,0,,
648,0,,,,0,,
649,0,,,,0,,
650,1,12,12,5,0,,
651,0,,,,0,,
652,0,,,,0,,
653,1,11,12,3,-1,,
654,0,,,,-1,,
655,0,,,,1,,
656,1,12,7,5,1,,
657,0,,,,1,,
658,1,12,12,5,-1,,
659,0,,,,-1,,
660,0,,,,-1,,
661,0,,,,-1,,
662,1,11,7,5,-1,,
663,1,11,10,1,1,,
664,1,9,5,7,1,,
665,1,4,12,5,1,,
666,1,12,12,5,1,,
667,1,12,11,5,1,,
668,0,,,,0,,
669,1,7,6,5,1,,
670,1,11,12,5,-1,,
671,1,11,12,7,1,,
672,0,,,,1,,
673,0,,,,-1,,
674,1,11,12,5,-1,,
675,0,,,,0,,
676,0,,,,-1,,
677,0,,,,1,,
678,1,12,12,5,1,,
679,1,4,12,7,-1,,
680,0,,,,-1,,
681,0,,,,-1,,
682,0,,,,-1,,
683,1,10,12,7,1,,
684,1,8,11,5,0,,
685,0,,,,1,,
686,1,11,6,5,-1,,
687,0,,,,0,,
688,1,12,5,8,-1,,
689,0,,,,-1,,
690,0,,,,0,,
691,1,12,12,5,1,,
692,0,,,,-1,,
693,1,6,12,5,-1,,
694,1,9,9,8,-1,,
695,0,,,,0,,
696,0,,,,1,,
697,1,11,12,7,-1,,
698,0,,,,-1,,
699,1,12,7,7,1,,
700,1,11,12,5,1,,
701,0,,,,0,,
702,0,,,,0,,
703,0,,,,1,,
704,0,,,,1,,
705,1,7,12,5,1,,
706,1,11,9,8,0,,
707,1,12,11,3,1,,
708,0,,,,1,,
709,1,12,12,5,1,,
710,1,10,4,7,-1,,
711,1,12,11,7,0,,
712,1,10,6,5,1,,
713,0,,,,1,,
714,0,,,,-1,,
715,1,12,11,3,1,,
716,0,,,,1,,
717,0,,,,0,,
718,1,12,5,7,1,,
719,0,,,,1,,
720,0,,,,-1,,
721,0,,,,-1,,
722,0,,,,0,,
723,1,12,12,7,0,,
724,0,,,,-1,,
725,0,,,,-1,,
726,0,,,,1,,
727,0,,,,1,,
728,1,10,12,5,1,,
729,1,12,8,5,-1,,
730,0,,,,1,,
731,1,12,11,5,0,,
732,1,10,12,5,-1,,
733,1,11,5,7,1,,
734,0,,,,0,,
735,1,12,11,5,-1,,
736,0,,,,1,,
737,1,11,12,5,-1,,
738,0,,,,1,,
739,0,,,,-1,,
740,0,,,,0,,
741,0,,,,-1,,
742,0,,,,0,,
743,0,,,,1,,
744,1,12,12,5,-1,,
745,0,,,,1,,
746,1,11,3,5,0,,
747,0,,,,1,,
748,0,,,,-1,,
749,0,,,,0,,
750,1,11,4,8,-1,,
751,0,,,,-1,,
752,0,,,,1,,
753,1,12,5,7,-1,,
754,0,,,,1,,
755,1,11,12,5,0,,
756,0,,,,1,,
757,0,,,,1,,
758,1,12,3,5,0,,
759,1,12,9,5,1,,
760,0,,,,1,,
761,0,,,,1,,
762,0,,,,-1,,
763,1,12,12,5,1,,
764,0,,,,-1,,
765,0,,,,1,,
766,1,12,12,5,-1,,
767,0,,,,-1,,
768,1,12,11,5,-1,,
769,1,12,12,5,0,,
770,0,,,,1,,
771,0,,,,0,,
772,0,,,,0,,
773,0,,,,1,,
774,1,12,11,3,0,,
775,0,,,,0,,
776,1,10,4,7,-1,,
777,1,11,11,8,1,,
778,0,,,,-1,,
779,0,,,,1,,
780,1,12,12,5,0,,
781,0,,,,1,,
782,1,12,12,5,1,,
783,1,11,12,5,1,,
784,0,,,,0,,
785,1,11,8,7,1,,
786,1,11,11,5,-1,,
787,0,,,,1,,
788,1,8,12,5,1,,
789,1,7,3,5,1,,
790,0,,,,-1,,
791,0,,,,1,,
792,0,,,,1,,
793,1,8,11,8,1,,
794,1,11,12,5,1,,
795,1,12,12,5,1,,
796,0,,,,1,,
797,0,,,,1,,
798,0,,,,1,,
799,0,,,,1,,
800,1,12,7,5,-1,,
801,1,4,11,5,1,,
802,1,12,12,5,1,,
803,0,,,,-1,,
804,1,12,11,5,1,,
805,0,,,,1,,
806,0,,,,-1,,
807,1,12,11,5,1,,
808,0,,,,-1,,
809,1,12,11,8,1,,
810,1,12,12,5,1,,
811,0,,,,1,,
812,1,12,12,5,1,,
813,1,12,11,5,1,,
814,0,,,,-1,,
815,1,7,12,5,-1,,
816,1,8,12,7,1,,
817,1,11,12,5,1,,
818,0,,,,1,,
819,0,,,,-1,,
820,0,,,,1,,
821,1,12,5,7,-1,,
822,1,12,10,8,1,,
823,1,7,12,5,-1,,
824,0,,,,-1,,
825,0,,,,-1,,
826,0,,,,-1,,
827,0,,,,1,,
828,0,,,,-1,,
829,1,3,3,8,1,,
830,0,,,,-1,,
831,1,12,11,5,1,,
832,1,12,11,5,-1,,
833,1,8,11,5,0,,
834,1,12,12,5,0,,
835,1,12,12,5,-1,,
836,1,10,12,7,-1,,
837,0,,,,0,,
838,1,5,10,8,-1,,
839,1,12,12,5,1,,
840,0,,,,0,,
841,0,,,,-1,,
842,0,,,,-1,,
843,1,12,11,3,1,,
844,1,12,10,5,1,,
845,1,12,8,5,-1,,
846,0,,,,-1,,
847,0,,,,-1,,
848,0,,,,-1,,
849,1,11,12,5,0,,
850,1,7,12,8,0,,
851,0,,,,-1,,
852,0,,,,0,,
853,1,7,12,5,1,,
854,0,,,,1,,
855,0,,,,-1,,
856,0,,,,1,,
857,0,,,,1,,
858,1,5,12,8,1,,
859,0,,,,-1,,
860,1,12,12,5,-1,,
861,0,,,,-1,,
862,0,,,,0,,
863,0,,,,1,,
864,0,,,,-1,,
865,0,,,,1,,
866,1,8,12,5,1,,
867,1,12,11,5,1,,
868,1,12,12,5,1,,
869,0,,,,1,,
870,0,,,,0,,
871,0,,,,1,,
872,0,,,,-1,,
873,1,11,12,5,-1,,
874,1,11,10,5,0,,
875,0,,,,0,,
876,0,,,,-1,,
877,1,8,10,7,0,,
878,0,,,,1,,
879,0,,,,0,,
880,1,11,12,5,1,,
881,0,,,,-1,,
882,0,,,,1,,
883,1,12,12,5,-1,,
884,1,12,3,5,0,,
885,0,,,,-1,,
886,1,3,11,8,-1,,
887,1,12,7,8,-1,,
888,0,,,,0,,
889,1,12,5,5,0,,
890,1,11,12,5,1,,
891,0,,,,1,,
892,1,11,12,5,1,,
893,1,12,12,5,-1,,
894,0,,,,0,,
895,0,,,,-1,,
896,0,,,,1,,
897,1,12,11,7,0,,
898,0,,,,0,,
899,0,,,,1,,
900,1,11,12,5,0,,
901,0,,,,1,,
902,1,11,5,7,0,,
903,0,,,,0,,
904,1,12,5,7,1,,
905,1,12,5,7,0,,
906,0,,,,1,,
907,0,,,,0,,
908,1,12,12,5,1,,
909,0,,,,-1,,
910,0,,,,-1,,
911,1,7,5,7,0,,
912,1,8,12,7,-1,,
913,0,,,,-1,,
914,1,12,11,5,-1,,
915,1,12,11,5,1,,
916,1,7,11,5,1,,
917,0,,,,1,,
918,1,12,11,5,1,,
919,1,12,12,7,0,,
920,0,,,,0,,
921,0,,,,-1,,
922,0,,,,1,,
923,0,,,,0,,
924,1,8,8,8,0,,
925,1,11,5,7,-1,,
926,0,,,,1,,
927,1,12,10,5,-1,,
928,1,11,12,7,-1,,
929,0,,,,0,,
930,0,,,,0,,
931,1,11,12,5,-1,,
932,0,,,,1,,
933,1,11,11,5,0,,
934,0,,,,-1,,
935,0,,,,0,,
936,0,,,,-1,,
937,0,,,,-1,,
938,1,10,12,7,-1,,
939,0,,,,-1,,
940,1,11,12,7,1,,
941,0,,,,1,,
942,0,,,,0,,
943,1,12,11,5,1,,
944,0,,,,0,,
945,0,,,,-1,,
946,0,,,,1,,
947,1,11,8,7,0,,
948,1,11,8,7,1,,
949,1,12,12,7,0,,
950,1,11,12,5,-1,,
951,1,11,12,5,-1,,
952,0,,,,-1,,
953,1,12,12,7,-1,,
954,0,,,,1,,
955,0,,,,0,,
956,1,12,6,5,1,,
957,0,,,,1,,
958,1,12,6,5,-1,,
959,1,7,13,5,1,,
960,0,,,,-1,,
961,1,6,12,5,-1,,
962,1,12,6,5,1,,
963,1,6,12,5,0,,
964,1,7,12,5,-1,,
965,1,12,12,5,-1,,
966,0,,,,-1,,
967,0,,,,0,,
968,0,,,,-1,,
969,0,,,,1,,
970,1,12,12,7,-1,,
971,0,,,,0,,
972,1,11,5,5,0,,
973,0,,,,1,,
974,1,12,7,5,1,,
975,1,10,12,7,0,,
976,1,7,13,5,1,,
977,0,,,,1,,
978,1,7,12,5,-1,,
979,1,12,13,5,0,,
980,0,,,,1,,
981,0,,,,1,,
982,1,12,11,5,1,,
983,1,10,12,5,1,,
984,0,,,,1,,
985,0,,,,1,,
986,1,5,6,5,1,,
987,1,12,10,3,1,,
988,1,12,6,5,1,,
989,0,,,,1,,
990,1,12,12,7,-1,,
991,0,,,,0,,
992,1,6,12,5,1,,
993,1,12,12,8,-1,,
994,0,,,,1,,
995,0,,,,-1,,
996,0,,,,0,,
997,0,,,,1,,
998,1,10,12,7,1,,
999,0,,,,0,,
1000,1,10,5,8,1,,
1001,0,,,,-1,,
1002,0,,,,1,,
1003,1,12,12,7,1,,
1004,0,,,,-1,,
1005,0,,,,1,,
1006,1,12,12,7,-1,,
1007,0,,,,1,,
1008,0,,,,1,,
1009,0,,,,1,,
1010,1,6,12,5,0,,
1011,0,,,,1,,
1012,0,,,,1,,
1013,0,,,,-1,,
1014,1,12,12,5,1,,
1015,0,,,,1,,
1016,0,,,,1,,
1017,0,,,,1,,
1018,0,,,,1,,
1019,0,,,,-1,,
1020,1,10,12,5,1,,
1021,0,,,,1,,
1022,0,,,,1,,
1023,0,,,,1,,
1024,1,10,12,5,-1,,
1025,0,,,,0,,
1026,0,,,,-1,,
1027,0,,,,1,,
1028,1,12,12,5,1,,
1029,0,,,,-1,,
1030,0,,,,-1,,
1031,0,,,,1,,
1032,0,,,,-1,,
1033,1,6,11,5,1,,
1034,0,,,,1,,
1035,0,,,,0,,
1036,0,,,,1,,
1037,0,,,,1,,
1038,0,,,,0,,
1039,1,12,6,3,0,,
1040,1,12,6,3,1,,
1041,0,,,,0,,
1042,1,12,6,3,0,,
1043,0,,,,-1,,
1044,0,,,,-1,,
1045,0,,,,0,,
1046,1,12,12,5,-1,,
1047,1,10,11,3,1,,
1048,0,,,,1,,
1049,0,,,,1,,
1050,0,,,,0,,
1051,0,,,,-1,,
1052,0,,,,1,,
1053,0,,,,1,,
1054,0,,,,0,,
1055,0,,,,1,,
1056,1,11,11,5,1,,
1057,0,,,,0,,
1058,0,,,,1,,
1059,0,,,,1,,
1060,1,12,6,3,-1,,
1061,1,12,13,5,0,,
1062,0,,,,-1,,
1063,0,,,,1,,
1064,0,,,,1,,
1065,0,,,,1,,
1066,0,,,,1,,
1067,0,,,,1,,
1068,0,,,,1,,
1069,0,,,,-1,,
1070,0,,,,1,,
1071,1,12,10,5,0,,
1072,1,12,6,3,-1,,
1073,0,,,,-1,,
1074,0,,,,-1,,
1075,0,,,,1,,
1076,0,,,,1,,
1077,0,,,,-1,,
1078,0,12,11,,1,,
